id_active_ingredient,nm_active_ingredient,cd_nct,ds_title,ds_conditions,ds_interventions,ds_outcomes
516,ACETATO DE BETAMETASONA,NCT00436969,ORTHOVISC Shoulder Osteoarthritis Study,Glenohumeral Osteoarthritis,"Orthovisc, Control","Visual Analog Scale (VAS) Pain Score (Per Protocol), Percentage of Responders Using the Visual Analog Scale (VAS) Pain Score (Per Protocol), Percentage of Responders Using the Visual Analog Scale (VAS) Pain Score (As Treated), Visual Analog Scale (VAS) Pain Score Change From Baseline and 12 Weeks (Per Protocol), Visual Analog Scale (VAS) Pain Score Change From Baseline and 12 Weeks (As Treated), American Shoulder and Elbow Surgeons Evaluation Form (ASES) Patient Score Change From Baseline and 12 Weeks (Per Protocol), American Shoulder and Elbow Surgeons Evaluation Form (ASES) Patient Score Change From Baseline and 12 Weeks (As Treated), American Shoulder and Elbow Surgeons Evaluation Form (ASES) Patient Score Change From Baseline and 6 Months (Per Protocol), American Shoulder and Elbow Surgeons Evaluation Form (ASES) Patient Score Change From Baseline and 6 Months (As Treated), Shoulder Pain and Disability Index (SPADI) Total Disability Score Change From Baseline and 12 Weeks (Per Protocol), Shoulder Pain and Disability Index (SPADI) Total Disability Score Change From Baseline and 12 Weeks (As Treated), Visual Analog Scale (VAS) Pain Score (As Treated), Shoulder Pain and Disability Index (SPADI) Total Disability Score Change From Baseline and 6 Months (Per Protocol), Shoulder Pain and Disability Index (SPADI) Total Disability Score Change From Baseline and 6 Months (As Treated), 12-Item Short Form Survey (SF-12) Physical Score Change From Baseline and 12 Weeks (Per Protocol), 12-Item Short Form Survey (SF-12) Physical Score Change From Baseline and 12 Weeks (As Treated), 12-Item Short Form Survey (SF-12) Physical Score Change From Baseline and 6 Months (Per Protocol), 12-Item Short Form Survey (SF-12) Physical Score Change From Baseline and 6 Months (As Treated), 12-Item Short Form Survey (SF-12) Mental Score Change From Baseline and 12 Weeks (Per Protocol), 12-Item Short Form Survey (SF-12) Mental Score Change From Baseline and 12 Weeks (As Treated), 12-Item Short Form Survey (SF-12) Mental Score Change From Baseline and 6 Months (Per Protocol), 12-Item Short Form Survey (SF-12) Mental Score Change From Baseline and 6 Months (As Treated)"
517,IODOPOVIDONA,NCT00827073,Comparison of Tetracaine 0.5% and Lidocaine 2% Jelly for Topical Phacoemulsification Cataract Surgery,Cataracts,"tetracaine 0.5%, Lidocaine 2% Jelly","Change in Ln(Bacterial Colony Count) From Pre-antibiotic Administration to Post Study Medication Swabs, Number of Bacterial Species in Pre-antibiotic Administration and in Post Study Medication Swabs"
517,IODOPOVIDONA,NCT05529173,Povidone-Iodine for Nasal Decolonization,"Surgical Wound Infection, Preoperative Care, Methicillin-Resistant Staphylococcus Aureus","Povidone-Iodine 10%, 0.9% NaCl Solution","Change in S. Aureus/MRSA Colony Forming Units (CFU) in Nasal Swab Specimen After Treatment in Patients Who Presented With a Positive for S. Aureus/MRSA Pre-interventional Nasal Swab Specimen., Surgical Site Infections"
519,BETAINTERFERONA 1B,NCT00489489,Phase II Study of Teriflunomide as Adjunctive Therapy to Interferon-beta in Subjects With Multiple Sclerosis,Multiple Sclerosis,"Teriflunomide, Placebo (for Teriflunomide), Interferon-β","Overview of Adverse Events [AE], Overview of AE With Potential Risk of Occurrence, Cerebral Magnetic Resonance Imaging [MRI] Assessment: Change From Baseline in Total Lesion Volume (Burden of Disease), Cerebral MRI Assessment: Number of Gd-enhancing T1-lesions Per Scan (Poisson Regression Estimates), Cerebral MRI Assessment: Volume of Gd-enhancing T1-lesions Per Scan, Liver Function: Number of Participants With Potentially Clinically Significant Abnormalities (PCSA), Annualized Relapse Rate [ARR]: Poisson Regression Estimates, Pharmacokinetic [PK]: Teriflunomide Plasma Concentration"
520,GLICLAZIDA,NCT01022762,Comparison of Repaglinide and Gliclazide in Chinese Subjects With Type 2 Diabetes Never Received Oral Antidiabetic Drug Treatment,"Diabetes, Diabetes Mellitus, Type 2","repaglinide, gliclazide","Change in Glycosylated Haemoglobin (HbA1c), Change in Fasting Plasma Glucose, Change in 2-hour Postprandial Plasma Glucose (PPG) Over a Standard Meal, Percentage of Participants Achieving the Treatment Target of HbA1c Below or Equal to 6.5%, Change in Fasting Serum Free Fatty Acid (FFA) From Baseline, Change in 2-hour Postprandial Serum Free Fatty Acid (FFA) Over a Standard Meal, Change in AUC0-180 of Serum Insulin Concentration of IVGTT (Intravenous Glucose Tolerance Test), Change in AUC0-180 of Plasma Glucose Concentration of IVGTT, Number of All Treatment Emergent Hypoglycaemic Episodes, Cholesterol, Change in Body Weight"
523,BROMETO DE GLICOPIRRÔNIO,NCT00491894,Safety and Efficacy Study of Oral Glycopyrrolate Liquid for the Treatment of Pathologic (Chronic Moderate to Severe) Drooling in Pediatric Patients 3 to 18 Years of Age With Cerebral Palsy or Other Neurologic Conditions,"Cerebral Palsy, Neurological Conditions, Mental Retardation, Sialorrhea",Oral Glycopyrrolate Liquid,"Proportion of Responders According to the Modified Teacher's Drooling Scale (mTDS), Parent/Caregiver's Assessment of the Extent of Drooling Using Visual Analog Scale (VAS), Parent/Caregiver's Assessment of the Extent of Drooling Using VAS, Parent/Caregiver's Global Assessment of Treatment, Investigator's Global Assessment of Treatment"
523,BROMETO DE GLICOPIRRÔNIO,NCT02948582,"Assessment of the Safety and Ability of a Once-a-day Dose of an Orally Inhaled Medicine [i.e., Glycopyrrolate Inhalation Solution = GIS] to Improve Airflow in the Lungs When Delivered Using an eFlow Nebulizer in Patients With Chronic Obstructive Pulmonary Disease (COPD)",Chronic Obstructive Pulmonary Disease,"Glycopyrrolate Inhalation Solution12.5μg, Glycopyrrolate Inhalation Solution 50μg, Glycopyrrolate Inhalation Solution 100μg, Glycopyrrolate Inhalation Solution 200μg, Glycopyrrolate Inhalation Solution 400μg, Placebo 0.5mL","Trough FEV1 (Change From Baseline), Standardized FEV1AUC0-12 Area Under the FEV1 Curve From 0 to 12 Hours Post-dose ( Actual and Change From Baseline)., Standardized FEV1AUC12-24 Area Under the FEV1 Curve From 12 to 24 Hours Post- Dose (Actual and Change From Baseline)., Standardized FEV1 AUC0-24 Area Under the FEV1 Curve From 0 to 24 Hours Post-dose (Actual and Change Baseline), Peak FEV1 (Change From Baseline and Percent Change), Cmax; Maximum Observed Plasma Concentration, Tmax; Time to Maximum Observed Plasma Concentration, t1/2; Plasma Half-life, AUC0-t; Area Under the Plasma Concentration-time Curve From Time Zero to Time of Last Measurable Drug Concentration., AUC0-inf Area Under the Plasma Concentration-time Curve From Time Zero to Infinity, Number of Subjects Who Died, Number of Subjects With Treatment Emergent SAEs, Number of Subjects Who Discontinued Due to AE, Number of Subjects With Clinically Significant Abnormal Vital Signs Reported During the Study, Number of Clinically Significant Abnormal Laboratory Results Reported During the Study, Number of Subjects With Clinically Significant ECG Parameters Reported During the Study, Percentage of Subjects With Treatment Emergent AEs"
523,BROMETO DE GLICOPIRRÔNIO,NCT01513460,"Efficacy, Tolerability and Safety of NVA237 in Patients With Chronic Obstructive Pulmonary Disease",Chronic Obstructive Pulmonary Disease,"NVA237 50µg once daily, Tiotropium 18µg once daily, Flu/Sal, NVA237 placebo + Tiotropium placebo.","Change From Baseline in Mean Trough Forced Expiratory Volume in 1 Second (FEV1) (NVA237 Versus Tiotropium), Change From Baseline in Mean Trough FEV1 (Flu/Sal Versus NVA237/Tiotropium+Flu/Sal), Change From Baseline in Mean Trough FEV1, Change From Baseline in Total Score of the St George's Respiratory Questionnaire for COPD Patients (SGRQ-C) After 12 Weeks of Treatment, Change From Baseline in the Mean Daily Number of Puffs of Rescue Medication Use, Mean Percentage of Nights With 'no Nighttime Awakenings', Mean Percentage of Days With Performance of Usual Activities"
524,DICLOFENACO,NCT05968482,Bioavailability and Safety Study Comparing Two Dose Levels of AMZ001 and One Dose Level of Diclofenac Sodium 1% Gel in Healthy Participants,Healthy,Diclofenac Sodium Gel,"Compare Exposure to Diclofenac, Pharmacokinetic Parameter - Cmax, Pharmacokinetic Parameter - Cmin, Pharmacokinetic Parameter - Tmax, Pharmacokinetic Parameter - Ke, Pharmacokinetic Parameter - Cavg, Pharmacokinetic Parameter - Tmax, Pharmacokinetic Parameter - Cavg, Local Tolerability"
525,PARECOXIBE SÓDICO,NCT00346268,Morphine-Sparing Efficacy Of Parecoxib In Pain Treatment After Radical Prostatectomy,"Pain, Postoperative","Morphine, Parecoxib, Morphine, Placebo","Cumulative Amount of Morphine Administered in the First 24 Hours Following Surgery, Cumulative Amount of Morphine Administered in the First 48 Hours Following Surgery, Time to Last Administration of Morphine, Amount of Blood Loss, Number of Participants With Blood Loss Requiring Red Blood Cell (RBC) Transfused Units, Pain Intensity Score, Modified Brief Pain Inventory-Short Form (mBPI-sf): Pain Severity Composite Score, Modified Brief Pain Inventory-Short Form (mBPI-sf): Pain Interference Composite Score, Opiate Related Symptom Distress Scale (OR-SDS) Questionnaire: Overall Composite Score, Number of Participants With Rating of Global Evaluation of Study Medication, Number of Participants With Health Care Resource Utilization (HCRU), Overall Analgesic Benefit Score (OABS), Hemoglobin Concentration, Total Amount of Postoperative Drainage Fluid"
526,BEZAFIBRATO,NCT02984982,Evaluation of Effect of Alirocumab on Coronary Atheroma Volume in Japanese Patients Hospitalized for Acute Coronary Syndrome With Hypercholesterolemia,"Hypercholesterolemia, Acute Coronary Syndrome","Alirocumab SAR236553, Atorvastatin, Rosuvastatin, Fenofibrate, Bezafibrate, Ezetimibe, Antiplatelets, Anticoagulants","Percent Change From Baseline in Normalized Total Atheroma Volume (TAV) at Week 36, Absolute Change From Baseline in Percent Atheroma Volume (PAV) at Week 36, Absolute Change From Baseline in Normalized Total Atheroma Volume at Week 36, Absolute Change From Baseline in External Elastic Membrane (EEM) Volume at Week 36, Percent Change From Baseline in External Elastic Membrane Volume at Week 36, Absolute Change From Baseline in Lumen Volume at Week 36, Percent Change From Baseline in Lumen Volume at Week 36, Absolute Change From Baseline in Calculated Low-density Lipoprotein Cholesterol at Week 12 and Week 36, Percent Change From Baseline in Calculated Low-density Lipoprotein Cholesterol at Week 12 and Week 36, Absolute Change From Baseline in Apolipoprotein B (Apo B) at Week 36, Percent Change From Baseline in Apolipoprotein B at Week 36, Absolute Change From Baseline in Non-High-density Lipoprotein Cholesterol (Non-HDL-C) at Week 36, Percent Change From Baseline in Non-High-density Lipoprotein Cholesterol at Week 36, Absolute Change From Baseline in Total Cholesterol (TC) at Week 36, Percent Change From Baseline in Total Cholesterol at Week 36, Absolute Change From Baseline in Lipoprotein (a) (Lp[a]) at Week 36, Percent Change From Baseline in Lipoprotein (a) at Week 36, Absolute Change From Baseline in High-density Lipoprotein Cholesterol at Week 36, Percent Change From Baseline in High-density Lipoprotein Cholesterol at Week 36, Absolute Change From Baseline in Fasting Triglycerides (TGs) at Week 36, Percent Change From Baseline in Fasting Triglycerides at Week 36, Absolute Change From Baseline in Apolipoprotein A-1 (Apo A-1) at Week 36, Percent Change From Baseline in Apolipoprotein A-1 at Week 36, Number of Participants With Cardiovascular (CV) Adverse Events"
527,CLORIDRATO DE BENAZEPRIL,NCT01234922,"Benazepril Hydrochloride, Lisinopril, Ramipril, or Losartan Potassium in Treating Hypertension in Patients With Solid Tumors","Hypertension, Unspecified Adult Solid Tumor, Protocol Specific","lisinopril, losartan potassium, laboratory biomarker analysis, benazepril hydrochloride, ramipril","Changes in Ang1-7 Levels Among Patients After ACE-I/ARB Treatment Measured in Picogram/Milliliter, Change in Ang II, VEGF, PlGF, and ACE Levels"
527,CLORIDRATO DE BENAZEPRIL,NCT00170950,Avoiding Cardiovascular Events Through Combination Therapy in Patients Living With Systolic Hypertension,Hypertension,"Benazepril/amlodipine 20/5 mg - Dose Level 1 from Day 1 to Month 1, Benazepril/amlodipine 40/5 mg - Dose Level 2 from Month 1 to Month 2, Benazepril/amlodipine 40/10 mg - Dose Level 3 from Month 2 to Month 3 and thereafter, Benazepril/hydrochlorothiazide 20/12.5 mg - Dose Level 1 from Day 1 to Month 1, Benazepril/hydrochlorothiazide 40/12.5 mg - Dose Level 2 from Month 1 to Month 2, Benazepril/hydrochlorothiazide 40/25 mg - Dose Level 3 from Month 2 to Month 3 and thereafter","Time-to-event Analysis of Percentage of Patients With a Composite Cardiovascular (CV) Morbidity or Mortality Event, Time-to-event Analysis of Percentage of Patients With a Composite Cardiovascular (CV) Morbidity Event, Time-to-event Analysis of Percentage of Patients With a Cardiovascular (CV) Mortality Event, Non-fatal Myocardial Infarction (MI), or Non-fatal Stroke"
529,CLORIDRATO DE CIPROFLOXACINO,NCT00097773,Comparison of Two Treatment Regimens to Reduce PA Infection in Children With Cystic Fibrosis,"Cystic Fibrosis, Pulmonary Disease, Chronic Obstructive","Tobramycin solution for inhalation (TOBI), Oral placebo, Oral ciprofloxacin","Number of Participants With a Pulmonary Exacerbation Requiring IV Antibiotics or Hospitalization, Proportion of Participants With a Pa Positive Culture, Number of Participants With a Pulmonary Exacerbation Requiring Oral, Inhaled, or Oral Antibiotics"
529,CLORIDRATO DE CIPROFLOXACINO,NCT03150082,Bioequivalence Study Between GR37547 500 Milligrams (mg) Tablet Versus Ciprofloxacin 500 mg Tablet Reference Product in Healthy Adult Subjects,"Infections, Bacterial","GR37547 tablet, Ciprofloxacin reference tablet","Area Under the Plasma Concentration-time Curve From Time Zero (Pre-dose) to Last Time of Quantifiable Concentration Within a Participant Across All Treatments (AUC[0-t]) for Ciprofloxacin, Maximum Observed Plasma Concentration (Cmax) of Ciprofloxacin, Area Under the Concentration-time Curve From Time Zero (Pre-dose) Extrapolated to Infinite Time (AUC[0-infinity]) for Ciprofloxacin, Time of Occurrence of Cmax (Tmax) for Ciprofloxacin, Percentage of AUC (0-infinity) Obtained by Extrapolation (Percentage AUCex) for Ciprofloxacin, Terminal Phase Half-life (t1/2) for Ciprofloxacin, Number of Participants With Serious Adverse Events (SAEs) and Non-serious AEs (Non-SAEs), Alanine Aminotransferase (ALT), Alkaline Phosphatase (Alk Phos), Aspartate Aminotransferase (AST) and Lactate Dehydrogenase (LD) at Indicated Time-points, Blood Urea Nitrogen (BUN) at Indicated Time-points, Calcium, Chloride, Glucose, Magnesium, Potassium and Sodium at Indicated Time-points, Total Bilirubin (Total Bil), Direct Bilirubin (Direct Bil) and Creatinine (Creat) at Indicated Time-points, Total Protein at Indicated Time-points, Platelets, Neutrophils, Monocytes, Lymphocytes, Leucocyte, Eosinophils and Basophils at Indicated Time-points, Mean Corpuscular Volume (MCV) at Indicated Time-points, Mean Corpuscular Hemoglobin (MCH) at Indicated Time-points, Mean Corpuscular Hemoglobin Concentration (MCHC) and Hemoglobin (Hb) at Indicated Time-points, Percent Reticulocytes at Indicated Time-points, Hematocrit at Indicated Time-points, Erythrocyte Count at Indicated Time-points, Number of Participants With Clinically Significant Abnormal Findings for Urinalysis, Number of Participants With Clinically Significant Abnormal Findings for Electrocardiogram (ECG) Parameters, Systolic Blood Pressure (SBP) and Diastolic Blood Pressure (DBP) at Indicated Time-points, Respiratory Rate at Indicated Time-points, Pulse Rate at Indicated Time-points, Body Temperature at Indicated Time-points"
