Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Categoria
Rosucor EZE;TORRENT DO BRASIL LTDA;33.078.528/0001-32;0965273245;16/07/2024;TODAS
cloridrato de escetamina;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;0549300252;23/04/2025;TODAS
ISTURISA;RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME;53.056.057/0001-79;0734628251;30/05/2025;TODAS
MYLANTA PLUS;KENVUE LTDA.;59.748.988/0001-14;0726931250;28/05/2025;TODAS
KETTO;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0826554245;18/06/2024;TODAS
VÓRIC;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1412430232;12/12/2023;TODAS
DRUSOLOL LC;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;1116264251;19/08/2025;TODAS
oxalato de escitalopram;INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA;33.258.401/0001-03;0848169255;28/06/2025;TODAS
DORFLEX DIP;OPELLA HEALTHCARE BRAZIL LTDA;38.391.432/0001-43;0148527256;03/02/2025;TODAS
PRALÍVIO;CIMED INDUSTRIA S.A;02.814.497/0001-07;1456659243;23/10/2024;TODAS
ÁGUA PARA INJETÁVEIS;FARMA VISION IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA;09.058.502/0001-48;1308502231;23/11/2023;TODAS
mupirocina;INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA;33.258.401/0001-03;1767929242;27/12/2024;TODAS
besilato de atracúrio;EUGIA PHARMA INDUSTRIA FARMACEUTICA LTDA;44.639.493/0001-80;0261156233;15/03/2023;TODAS
