Medicamento;Empresa;CNPJ;Expediente;Data de Publicação_rel;Data de Publicação_cat;Data de Publicação (dt)_rel;Data de Publicação (dt)_cat;Categoria;status
SULFATO DE TERBUTALINA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;681734203;06/03/2020;;2020-03-06;;;novo_em_relatorio
butilbrometo de escopolamina + dipirona sódica;FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA;06.628.333/0001-46;215160240;23/02/2024;;2024-02-23;;;novo_em_relatorio
AMINOFILINA;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;1557189242;12/11/2024;;2024-11-12;;;novo_em_relatorio
MONONITRATO DE ISOSSORBIDA;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;1113287250;18/08/2025;;2025-08-18;;;novo_em_relatorio
BROMETO DE IPRATRÓPIO;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;682238252;21/05/2025;;2025-05-21;;;novo_em_relatorio
CORDIL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;592803236;12/06/2023;;2023-06-12;;;novo_em_relatorio
sulfato de neomicina + bacitracina zíncica;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1252209240;11/09/2024;;2024-09-11;;;novo_em_relatorio
dipirona monoidratada;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;839987234;10/08/2023;;2023-08-10;;;novo_em_relatorio
nistatina;THEODORO F SOBRAL & CIA LTDA;06.597.801/0001-62;855200182;31/08/2018;;2018-08-31;;;novo_em_relatorio
CPHD GENIUS;FRESENIUS MEDICAL CARE LTDA;01.440.590/0001-36;1627485244;28/11/2024;;2024-11-28;;;novo_em_relatorio
clonazepam;EMS S/A;57.507.378/0003-65;971505250;25/07/2025;;2025-07-25;;;novo_em_relatorio
ACETILCISTEÍNA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;706526236;10/07/2023;;2023-07-10;;;novo_em_relatorio
DIPIRONA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;528832255;17/04/2025;;2025-04-17;;;novo_em_relatorio
CLORIDRATO DE CLINDAMICINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;510691251;14/04/2025;;2025-04-14;;;novo_em_relatorio
mesalazina;EMS S/A;57.507.378/0003-65;925635251;16/07/2025;;2025-07-16;;;novo_em_relatorio
mesalazina;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;661989241;17/05/2024;;2024-05-17;;;novo_em_relatorio
cloridrato de fluoxetina;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;88592251;21/01/2025;;2025-01-21;;;novo_em_relatorio
Pomada de Erva de Bicho Adrenalina e Hamamélis Composta Imescard;LABORATÓRIOS OSÓRIO DE MORAES LTDA;19.791.813/0001-75;555217230;31/05/2023;;2023-05-31;;;novo_em_relatorio
