"disease","disease_label","alt_label"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Striopallidodentate Calcinosis, Autosomal Dominant, Adult-Onset"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Adult-onset idiopathic nonarteriosclerotic cerebral calcification"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Cerebral Calcification, Nonarteriosclerotic, Idiopathic, Adult-Onset"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Striopallidodentate calcinosis, autosomal dominant, adult onset"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10070","Polydactyly","Hyperdactyly"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10070","Polydactyly","Polydactylia"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10070","Polydactyly","Polydactylism"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10071","Soft Tissue Injuries","Injuries, Soft Tissue"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Adult Onset Nemaline Myopathy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Autosomal Dominant Nemaline Myopathy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Autosomal Recessive Nemaline Myopathy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Childhood Onset Nemaline Myopathy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Late Onset Nemaline Myopathy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Myopathy, Nemaline"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Myopathy, Rod"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Myopathy, Rod-Body"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Nemaline Body Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Nemaline Myopathies"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Nemaline Myopathy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Nemaline Myopathy, Adult Onset"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Nemaline Myopathy, Autosomal Dominant"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Nemaline Myopathy, Autosomal Recessive"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Nemaline Myopathy, Childhood Onset"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Nemaline Myopathy, Late Onset"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Nemaline Rod Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Rod Body Disease"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Rod Myopathy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10072","Myopathies, Nemaline","Rod-Body Myopathy"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10076","Community-Acquired Infections","Community Acquired Infection"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10076","Community-Acquired Infections","Community-Acquired Infection"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10076","Community-Acquired Infections","Infections, Community-Acquired"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10077","Diabetic Foot","Diabetic Feet"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10077","Diabetic Foot","Foot Ulcer, Diabetic"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10079","Lymphoma, Large-Cell, Anaplastic","Anaplastic Large-Cell Lymphoma"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10079","Lymphoma, Large-Cell, Anaplastic","CD30+ Anaplastic Large-Cell Lymphoma"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10079","Lymphoma, Large-Cell, Anaplastic","CD30-Positive Anaplastic Large-Cell Lymphoma"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10079","Lymphoma, Large-Cell, Anaplastic","Ki-1 Lymphoma"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10079","Lymphoma, Large-Cell, Anaplastic","Lymphoma, Large-Cell, Ki-1"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10079","Lymphoma, Large-Cell, Anaplastic","Systemic Anaplastic Large-Cell Lymphoma"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10087","Furcation Defects",
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","ACY2 Deficiency"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","ASP Deficiency"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","ASPA Deficiency"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Aminoacylase 2 Deficiency"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Aspartoacylase Deficiency"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Canavan Disease, Familial Form"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Canavan Disease, Infantile"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Canavan Disease, Juvenile"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Canavan Disease, Neonatal"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Canavan Disease, Sporadic Form"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Canavan Disease, Type I"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Canavan Disease, Type II"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10089","Canavan Disease","Canavan Disease, Type III"
